28,079,017,01,38,02,2020,02,25,00011,V,00010,V,00010,V,00009,V,00008,V,00008,V,00008,V,00009,V,00010,V,00011,V,00011,V,00012,V,00011,V,00007,V,00006,V,00005,V,00006,V,00007,V,00007,V,00008,V,00008,V,00009,V,00009,V,00000,N
28,079,017,07,08,02,2020,02,25,00068,V,00075,V,00094,V,00093,V,00095,V,00092,V,00120,V,00148,V,00180,V,00192,V,00149,V,00113,V,00070,V,00026,V,00024,V,00023,V,00025,V,00024,V,00025,V,00028,V,00024,V,00021,V,00021,V,00000,N
28,079,017,08,08,02,2020,02,25,00082,V,00077,V,00072,V,00066,V,00062,V,00060,V,00066,V,00074,V,00085,V,00093,V,00084,V,00080,V,00067,V,00029,V,00021,V,00017,V,00023,V,00026,V,00033,V,00045,V,00035,V,00022,V,00029,V,00000,N
28,079,017,12,08,02,2020,02,25,00186,V,00192,V,00217,V,00209,V,00207,V,00201,V,00250,V,00301,V,00361,V,00387,V,00313,V,00254,V,00173,V,00068,V,00058,V,00052,V,00061,V,00063,V,00071,V,00088,V,00072,V,00054,V,00061,V,00000,N
28,079,017,14,06,02,2020,02,25,00005,V,00002,V,00002,V,00002,V,00002,V,00002,V,00002,V,00002,V,00002,V,00003,V,00004,V,00007,V,00023,V,00056,V,00059,V,00058,V,00053,V,00050,V,00046,V,00036,V,00046,V,00057,V,00047,V,00000,N
28,079,018,01,38,02,2020,02,25,00008,V,00007,V,00007,V,00007,V,00007,V,00007,V,00006,V,00009,V,00011,V,00016,V,00017,V,00015,V,00013,V,00009,V,00009,V,00008,V,00008,V,00007,V,00006,V,00006,V,00006,V,00006,V,00006,V,00000,N
28,079,018,06,48,02,2020,02,25,000.5,V,000.5,V,000.4,V,000.4,V,000.4,V,000.4,V,000.4,V,000.7,V,001.0,V,001.3,V,001.0,V,000.9,V,000.7,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,00000,N
28,079,018,07,08,02,2020,02,25,00014,V,00016,V,00006,V,00005,V,00011,V,00012,V,00019,V,00065,V,00115,V,00205,V,00214,V,00167,V,00099,V,00006,V,00005,V,00005,V,00004,V,00005,V,00005,V,00004,V,00003,V,00003,V,00002,V,00000,N
28,079,018,08,08,02,2020,02,25,00072,V,00063,V,00053,V,00046,V,00044,V,00042,V,00043,V,00054,V,00081,V,00097,V,00116,V,00113,V,00089,V,00018,V,00015,V,00016,V,00018,V,00019,V,00026,V,00033,V,00030,V,00019,V,00017,V,00000,N
28,079,018,10,47,02,2020,02,25,00016,V,00014,V,00012,V,00011,V,00009,V,00010,V,00009,V,00011,V,00021,V,00032,V,00049,V,00051,V,00050,V,00032,V,00012,V,00015,V,00014,V,00010,V,00007,V,00006,V,00004,V,00004,V,00004,V,00000,N
